   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 5768.17 1149.13     0      64       60
 256   64   25   64 5132.87 1283.22     0      64       60
 256   77   30   64 4739.38 1425.52     0      64       60
 256   90   35   64 4530.06 1592.60     0      64       60
 256  102   39   64 4585.01 1826.84     0      64       60
 256  115   44   64 4324.42 1942.61     0      64       60
 256  128   50   64 2604.93 1302.47     0      64       60
 256  141   55   64 2466.15 1358.31     0      64       60
 256  154   60   64 2399.56 1443.48     0      64       60
 256  169   66   64 2345.48 1548.38     0      64       60
 256  179   69   64 2111.39 1476.32     0      64       60
 256  192   75   64 2125.27 1593.95     0      64       60
 256  205   80   64 1940.23 1553.70     0      64       60
 256  218   85   64 1860.75 1584.55     0      64       60
 256  230   89   64 2271.50 2040.80     0      64       60
