   N    K    R   GF   Coded    Info   Lat Threads Duration
 128   26   20  128 1269.93  257.96     0      64       60
 128   32   25  128 1318.10  329.53     0      64       60
 128   38   29  128 1280.46  380.14     0      64       60
 128   45   35  128 1128.19  396.63     0      64       60
 128   51   39  128 1131.15  450.69     0      64       60
 128   58   45  128 1278.77  579.44     0      64       60
 128   64   50  128 1125.95  562.98     0      64       60
 128   70   54  128 1169.06  639.33     0      64       60
 128   77   60  128 1103.18  663.63     0      64       60
 128   84   65  128 1043.40  684.73     0      64       60
 128   90   70  128 1030.12  724.30     0      64       60
 128   96   75  128  986.72  740.04     0      64       60
 128  102   79  128  985.58  785.38     0      64       60
 128  109   85  128 1293.71 1101.67     0      64       60
 128  115   89  128 1309.52 1176.52     0      64       60
