   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   13   20  256  828.46  168.28     0      64       60
  64   16   25  256  789.88  197.47     0      64       60
  64   19   29  256  763.64  226.71     0      64       60
  64   22   34  256  766.46  263.47     0      64       60
  64   26   40  256  832.08  338.03     0      64       60
  64   29   45  256  780.70  353.76     0      64       60
  64   32   50  256  780.90  390.45     0      64       60
  64   35   54  256  695.40  380.30     0      64       60
  64   38   59  256  732.35  434.83     0      64       60
  64   42   65  256  724.22  475.27     0      64       60
  64   45   70  256  625.49  439.80     0      64       60
  64   48   75  256  838.27  628.70     0      64       60
  64   51   79  256  812.60  647.54     0      64       60
  64   54   84  256  911.97  769.47     0      64       60
  64   58   90  256 1028.72  932.28     0      64       60
