   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 3528.67  702.98     0      64       60
 256   64   25   64 4102.58 1025.64     0      64       60
 256   77   30   64 3501.80 1053.28     0      64       60
 256   90   35   64 3468.61 1219.43     0      64       60
 256  102   39   64 3462.05 1379.41     0      64       60
 256  128   50   64 2155.08 1077.54     0      64       60
 256  154   60   64 2111.32 1270.09     0      64       60
 256  169   66   64 2096.37 1383.93     0      64       60
 256  179   69   64 1823.31 1274.89     0      64       60
 256  192   75   64 1864.38 1398.29     0      64       60
 256  210   82   64 1658.13 1360.18     0      64       60
 256  230   89   64 2326.86 2090.53     0      64       60
