   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 7451.74 1484.53     0      64       60
 256   64   25   16 8013.02 2003.26     0      64       60
 256   77   30   16 7253.56 2181.73     0      64       60
 256   90   35   16 7231.36 2542.28     0      64       60
 256  102   39   16 7191.33 2865.30     0      64       60
 256  115   44   16 7013.06 3150.40     0      64       60
 256  128   50   16 5187.26 2593.63     0      64       60
 256  141   55   16 5067.45 2791.05     0      64       60
 256  154   60   16 5040.48 3032.16     0      64       60
 256  169   66   16 4949.27 3267.29     0      64       60
 256  179   69   16 4337.67 3032.98     0      64       60
 256  192   75   16 4431.74 3323.81     0      64       60
 256  205   80   16 4070.18 3259.32     0      64       60
 256  218   85   16 3923.26 3340.90     0      64       60
 256  230   89   16 4922.54 4422.59     0      64       60
