   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8 2036.29 1018.15     0      64       60
  64   32   50   16 2135.41 1067.71     0      64       60
  64   32   50   32 1520.76  760.38     0      64       60
  64   32   50   64 1166.21  583.11     0      64       60
  64   32   50  128  621.37  310.68     0      64       60
  64   32   50  256  333.56  166.78     1      64       60
  64   32   50  512  177.72   88.86     3      64       60
  64   32   50 1024   85.55   42.78     7      64       60
