   N    K    R   GF   Coded    Info   Lat Threads Duration
 128   26   20  128 1040.22  211.29     0      64       60
 128   32   25  128 1080.74  270.18     0      64       60
 128   38   29  128 1081.89  321.18     0      64       60
 128   45   35  128 1021.30  359.05     0      64       60
 128   51   39  128 1029.67  410.26     0      64       60
 128   58   45  128 1177.50  533.56     0      64       60
 128   64   50  128 1050.93  525.47     0      64       60
 128   70   54  128 1110.94  607.55     0      64       60
 128   77   60  128 1059.00  637.06     0      64       60
 128   84   65  128 1060.31  695.83     0      64       60
 128   90   70  128 1054.21  741.24     0      64       60
 128   96   75  128 1010.59  757.94     0      64       60
 128  102   79  128 1006.81  802.30     0      64       60
 128  109   85  128 1318.65 1122.91     0      64       60
 128  115   89  128 1332.32 1197.01     0      64       60
