   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   13   20  256  812.27  164.99     0      64       60
  64   16   25  256  761.83  190.46     0      64       60
  64   19   29  256  639.44  189.83     0      64       60
  64   22   34  256  649.40  223.23     0      64       60
  64   26   40  256  720.32  292.63     0      64       60
  64   29   45  256  719.76  326.14     0      64       60
  64   32   50  256  732.43  366.22     0      64       60
  64   35   54  256  672.73  367.90     0      64       60
  64   38   59  256  694.48  412.35     0      64       60
  64   42   65  256  654.65  429.62     0      64       60
  64   45   70  256  635.99  447.18     0      64       60
  64   48   75  256  847.15  635.36     0      64       60
  64   51   79  256  819.89  653.35     0      64       60
  64   54   84  256  924.68  780.20     0      64       60
  64   58   90  256 1029.52  933.01     0      64       60
