   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 17037.66 3394.22     0      64       60
 256   64   25   16 13054.77 3263.69     0      64       60
 256   77   30   16 13127.36 3948.46     0      64       60
 256   90   35   16 11647.31 4094.76     0      64       60
 256  102   39   16 11031.69 4395.44     0      64       60
 256  115   44   16 9641.39 4331.09     0      64       60
 256  128   50   16 5593.91 2796.96     0      64       60
 256  141   55   16 5202.56 2865.47     0      64       60
 256  154   60   16 5013.38 3015.86     0      64       60
 256  169   66   16 4899.80 3234.63     0      64       60
 256  179   69   16 4260.38 2978.94     0      64       60
 256  192   75   16 4237.90 3178.42     0      64       60
 256  205   80   16 3979.37 3186.60     0      64       60
 256  218   85   16 3776.06 3215.55     0      64       60
 256  230   89   16 4309.24 3871.58     0      64       60
