   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 3533.50  703.94     0      64       60
 256   64   25   64 3874.71  968.68     0      64       60
 256   77   30   64 3450.15 1037.74     0      64       60
 256   90   35   64 3496.74 1229.32     0      64       60
 256  102   39   64 3497.54 1393.55     0      64       60
 256  115   44   64 3397.81 1526.36     0      64       60
 256  128   50   64 2373.73 1186.87     0      64       60
 256  141   55   64 2325.15 1280.65     0      64       60
 256  154   60   64 2318.83 1394.92     0      64       60
 256  169   66   64 2292.16 1513.18     0      64       60
 256  179   69   64 1976.06 1381.70     0      64       60
 256  192   75   64 2027.00 1520.25     0      64       60
 256  205   80   64 1862.32 1491.31     0      64       60
 256  218   85   64 1803.33 1535.65     0      64       60
 256  230   89   64 2326.23 2089.97     0      64       60
