   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64 1653.01  826.50     0      64       60
  16    8   50   64 1657.79  828.89     0      64       60
  32   16   50   64 1387.93  693.96     0      64       60
  64   32   50   64 1192.75  596.37     0      64       60
 128   64   50   64  996.03  498.02     0      64       60
 256  128   50   64  920.55  460.28     1      64       60
 512  256   50   64  785.14  392.57     3      64       60
1024  512   50   64  707.24  353.62     8      64       60
