   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 1670.12  332.72     0      64       60
 256   64   25   16 1659.26  414.82     0      64       60
 256   77   30   16 1689.45  508.15     0      64       60
 256   90   35   16 1635.98  575.15     0      64       60
 256  102   39   16 1661.15  661.86     0      64       60
 256  115   44   16 1610.95  723.67     0      64       60
 256  128   50   16 1638.50  819.25     0      64       60
 256  141   55   16 1587.10  874.14     0      64       60
 256  154   60   16 1611.71  969.54     0      64       60
 256  169   66   16 1561.39 1030.76     0      64       60
 256  179   69   16 1599.72 1118.56     0      64       60
 256  192   75   16 1557.49 1168.12     0      64       60
 256  205   80   16 1545.64 1237.72     0      64       60
 256  218   85   16 1537.13 1308.96     0      64       60
 256  230   89   16 1524.22 1369.42     0      64       60
