   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 3032.63  604.16     0       8       60
 256   64   25   16 3264.80  816.20     0       8       60
 256   77   30   16 2721.77  818.66     0       8       60
 256   90   35   16 2699.63  949.09     0       8       60
 256  102   39   16 2679.70 1067.69     0       8       60
 256  115   44   16 2490.66 1118.85     0       8       60
 256  128   50   16 1595.19  797.60     0       8       60
 256  141   55   16 1539.34  847.84     0       8       60
 256  154   60   16 1419.07  853.66     0       8       60
 256  169   66   16 1373.00  906.40     0       8       60
 256  179   69   16 1153.13  806.29     0       8       60
 256  192   75   16 1115.69  836.77     0       8       60
 256  205   80   16 1135.64  909.40     0       8       60
 256  218   85   16 1025.05  872.89     0       8       60
 256  230   89   16 1358.78 1220.78     0       8       60
