   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1062.06  211.58     1       8       60
 256   64   25   64 1225.28  306.32     1       8       60
 256   77   30   64 1067.20  321.00     1       8       60
 256   90   35   64 1072.07  376.90     1       8       60
 256  102   39   64 1084.99  432.30     1       8       60
 256  128   50   64  709.69  354.84     2       8       60
 256  154   60   64  701.38  421.92     2       8       60
 256  169   66   64  695.85  459.37     2       8       60
 256  179   69   64  597.04  417.46     2       8       60
 256  192   75   64  612.62  459.47     2       8       60
 256  210   82   64  545.41  447.40     2       8       60
 256  230   89   64  736.12  661.36     2       8       60
