   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64 1118.79  559.40     0       8       60
  16    8   50   64 1228.61  614.31     0       8       60
  32   16   50   64  720.23  360.11     0       8       60
  64   32   50   64  692.23  346.11     0       8       60
 128   64   50   64  572.71  286.35     1       8       60
 256  128   50   64  688.44  344.22     2       8       60
 512  256   50   64  653.34  326.67     4       8       60
1024  512   50   64  640.83  320.41     9       8       60
