   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19  128 1279.10  254.82     1       8       60
 256   64   25  128 1002.41  250.60     1       8       60
 256   77   30  128  879.15  264.43     2       8       60
 256   90   35  128  815.37  286.65     2       8       60
 256  102   39  128  855.23  340.75     2       8       60
 256  115   44  128  779.04  349.96     2       8       60
 256  128   50  128  375.72  187.86     4       8       60
 256  141   55  128  353.62  194.77     5       8       60
 256  154   60  128  340.30  204.71     5       8       60
 256  169   66  128  332.38  219.42     5       8       60
 256  179   69  128  293.71  205.37     6       8       60
 256  192   75  128  294.33  220.75     6       8       60
 256  205   80  128  267.03  213.83     6       8       60
 256  218   85  128  254.00  216.29     7       8       60
 256  230   89  128  325.47  292.41     5       8       60
