   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 5326.87 1061.21     0       8       60
 256   64   25   16 4399.20 1099.80     0       8       60
 256   77   30   16 4095.55 1231.86     0       8       60
 256   90   35   16 3852.29 1354.32     0       8       60
 256  102   39   16 3631.44 1446.90     0       8       60
 256  115   44   16 3133.81 1407.77     0       8       60
 256  128   50   16 1973.33  986.66     0       8       60
 256  141   55   16 1823.80 1004.51     0       8       60
 256  154   60   16 1764.95 1061.73     0       8       60
 256  169   66   16 1674.25 1105.27     0       8       60
 256  179   69   16 1381.47  965.95     0       8       60
 256  192   75   16 1364.99 1023.75     0       8       60
 256  205   80   16 1149.98  920.88     0       8       60
 256  218   85   16 1100.71  937.32     0       8       60
 256  230   89   16 1441.59 1295.18     0       8       60
