   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1018.21  202.85     1       8       60
 256   64   25   64 1150.67  287.67     1       8       60
 256   77   30   64 1007.01  302.89     1       8       60
 256   90   35   64  986.89  346.95     1       8       60
 256  102   39   64 1021.38  406.96     1       8       60
 256  115   44   64  994.22  446.62     1       8       60
 256  128   50   64  689.81  344.90     2       8       60
 256  141   55   64  675.78  372.21     2       8       60
 256  154   60   64  679.78  408.93     2       8       60
 256  169   66   64  680.14  449.00     2       8       60
 256  179   69   64  587.36  410.69     2       8       60
 256  192   75   64  599.56  449.67     2       8       60
 256  205   80   64  554.70  444.20     2       8       60
 256  218   85   64  541.66  461.26     2       8       60
 256  230   89   64  722.44  649.06     2       8       60
