   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  495.23  247.61     0       8       60
  64   32   50   16  477.72  238.86     0       8       60
  64   32   50   32  378.56  189.28     0       8       60
  64   32   50   64  320.59  160.30     1       8       60
  64   32   50  128  153.66   76.83     2       8       60
  64   32   50  256   77.89   38.94     6       8       60
  64   32   50  512   34.90   17.45    16       8       60
  64   32   50 1024   17.45    8.73    36       8       60
