   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  183.69   91.84     1       1       60
  64   32   50   16  173.94   86.97     1       1       60
  64   32   50   32  145.92   72.96     2       1       60
  64   32   50   64   89.63   44.81     4       1       60
  64   32   50  128   52.97   26.49     8       1       60
  64   32   50  256   28.98   14.49    17       1       60
  64   32   50  512   13.03    6.52    44       1       60
  64   32   50 1024    6.58    3.29    97       1       60
