   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   54.13   27.07     3       1       60
  64   32   50   16   48.74   24.37     5       1       60
  64   32   50   32   44.30   22.15     7       1       60
  64   32   50   64   33.94   16.97    11       1       60
  64   32   50  128   21.21   10.61    21       1       60
  64   32   50  256   11.58    5.79    44       1       60
  64   32   50  512    5.19    2.60   110       1       60
  64   32   50 1024    2.49    1.25   256       1       60
