   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64  130.37   65.19     0      32       60
  16    8   50   64 2596.95 1298.47     0      32       60
  32   16   50   64 1991.01  995.51     0      32       60
  64   32   50   64 1809.96  904.98     0      32       60
 128   64   50   64 1506.20  753.10     0      32       60
 256  128   50   64 1609.90  804.95     0      32       60
 512  256   50   64 1578.09  789.05     1      32       60
1024  512   50   64 1572.28  786.14     3      32       60
