   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8 2307.56 1153.78     0      32       60
  64   32   50   16 2477.83 1238.92     0      32       60
  64   32   50   32 1929.13  964.56     0      32       60
  64   32   50   64 1811.97  905.98     0      32       60
  64   32   50  128 1005.76  502.88     0      32       60
  64   32   50  256  567.48  283.74     0      32       60
  64   32   50  512  305.89  152.94     1      32       60
  64   32   50 1024  142.69   71.35     4      32       60
