   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19  128 3527.40  702.72     0      32       60
 256   64   25  128 2838.57  709.64     0      32       60
 256   77   30  128 2652.38  797.79     0      32       60
 256   90   35  128 2472.08  869.09     0      32       60
 256  102   39  128 2566.27 1022.50     0      32       60
 256  115   44  128 2380.74 1069.47     0      32       60
 256  128   50  128 1220.90  610.45     1      32       60
 256  141   55  128 1137.00  626.24     1      32       60
 256  154   60  128 1099.08  661.16     1      32       60
 256  169   66  128 1072.47  708.00     1      32       60
 256  179   69  128  948.35  663.10     1      32       60
 256  192   75  128  951.16  713.37     1      32       60
 256  205   80  128  866.25  693.67     2      32       60
 256  218   85  128  824.46  702.08     2      32       60
 256  230   89  128 1071.33  962.52     1      32       60
