   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8 2638.59 1319.30     0      32       60
  64   32   50   16 2877.34 1438.67     0      32       60
  64   32   50   32 2036.16 1018.08     0      32       60
  64   32   50   64 1845.55  922.78     0      32       60
  64   32   50  128 1039.81  519.91     0      32       60
  64   32   50  256  614.90  307.45     0      32       60
  64   32   50  512  311.45  155.73     1      32       60
  64   32   50 1024  151.98   75.99     4      32       60
