   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64 1158.04  579.02     0      32       60
  16    8   50   64 2142.24 1071.12     0      32       60
  32   16   50   64 1884.65  942.32     0      32       60
  64   32   50   64 1830.63  915.32     0      32       60
 128   64   50   64 1524.99  762.50     0      32       60
 256  128   50   64 2004.34 1002.17     0      32       60
 512  256   50   64 1989.91  994.95     1      32       60
1024  512   50   64 2009.21 1004.60     3      32       60
