   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 2621.43  522.24     0      32       60
 256   64   25   64 2990.60  747.65     0      32       60
 256   77   30   64 2569.03  772.71     0      32       60
 256   90   35   64 2589.31  910.31     0      32       60
 256  102   39   64 2600.86 1036.28     0      32       60
 256  128   50   64 1606.87  803.44     0      32       60
 256  154   60   64 1580.09  950.52     0      32       60
 256  169   66   64 1587.98 1048.32     0      32       60
 256  179   69   64 1401.30  979.82     1      32       60
 256  192   75   64 1429.70 1072.27     1      32       60
 256  210   82   64 1295.55 1062.76     1      32       60
 256  230   89   64 1858.71 1669.94     0      32       60
