   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64 1232.26  616.13     0      32       60
  16    8   50   64 1099.33  549.67     0      32       60
  32   16   50   64 1080.69  540.34     0      32       60
  64   32   50   64  896.60  448.30     0      32       60
 128   64   50   64  746.99  373.50     1      32       60
 256  128   50   64  699.49  349.74     2      32       60
 512  256   50   64  597.67  298.84     5      32       60
1024  512   50   64  538.21  269.10    11      32       60
