   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 2767.76  551.39     0      32       60
 256   64   25   64 2838.50  709.62     0      32       60
 256   77   30   64 2707.04  814.23     0      32       60
 256   90   35   64 2711.45  953.24     0      32       60
 256  102   39   64 2737.46 1090.71     0      32       60
 256  115   44   64 2661.05 1195.39     0      32       60
 256  128   50   64 1862.91  931.45     0      32       60
 256  141   55   64 1824.97 1005.16     0      32       60
 256  154   60   64 1828.58 1100.01     0      32       60
 256  169   66   64 1806.92 1192.85     0      32       60
 256  179   69   64 1571.58 1098.88     0      32       60
 256  192   75   64 1611.27 1208.45     0      32       60
 256  205   80   64 1477.80 1183.39     1      32       60
 256  218   85   64 1428.51 1216.46     1      32       60
 256  230   89   64 1867.25 1677.61     0      32       60
