   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8 1177.59  588.79     0      32       60
  64   32   50   16 1220.38  610.19     0      32       60
  64   32   50   32 1140.44  570.22     0      32       60
  64   32   50   64  897.26  448.63     0      32       60
  64   32   50  128  574.73  287.37     0      32       60
  64   32   50  256  323.44  161.72     1      32       60
  64   32   50  512  150.43   75.21     3      32       60
  64   32   50 1024   76.24   38.12     8      32       60
