   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19  128 1504.71  299.77     1      32       60
 256   64   25  128 1659.79  414.95     1      32       60
 256   77   30  128 1477.73  444.47     1      32       60
 256   90   35  128 1506.50  529.63     1      32       60
 256  102   39  128 1502.90  598.81     1      32       60
 256  115   44  128 1470.08  660.39     1      32       60
 256  128   50  128 1060.95  530.47     1      32       60
 256  141   55  128 1012.94  557.91     1      32       60
 256  154   60  128 1018.85  612.90     1      32       60
 256  169   66  128 1046.39  690.78     1      32       60
 256  179   69  128  885.49  619.15     2      32       60
 256  192   75  128  917.22  687.91     1      32       60
 256  205   80  128  873.03  699.11     2      32       60
 256  218   85  128  816.83  695.58     2      32       60
 256  230   89  128 1063.85  955.81     1      32       60
