   N    K    R   GF   Coded    Info   Lat Threads Duration
 128   26   20  128 1033.99  210.03     0      32       60
 128   32   25  128 1069.07  267.27     0      32       60
 128   38   29  128 1048.55  311.29     0      32       60
 128   45   35  128  923.49  324.67     0      32       60
 128   51   39  128  926.66  369.22     0      32       60
 128   58   45  128 1044.42  473.25     0      32       60
 128   64   50  128  939.21  469.61     0      32       60
 128   70   54  128  971.92  531.52     0      32       60
 128   77   60  128  922.97  555.22     0      32       60
 128   84   65  128  870.71  571.41     1      32       60
 128   90   70  128  860.90  605.32     1      32       60
 128   96   75  128  826.81  620.11     1      32       60
 128  102   79  128  819.53  653.06     1      32       60
 128  109   85  128 1077.18  917.29     0      32       60
 128  115   89  128 1089.20  978.58     0      32       60
