   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 3780.39  753.12     0      32       60
 256   64   25   64 3391.48  847.87     0      32       60
 256   77   30   64 3369.30 1013.42     0      32       60
 256   90   35   64 3289.96 1156.63     0      32       60
 256  102   39   64 3354.37 1336.51     0      32       60
 256  115   44   64 3185.86 1431.15     0      32       60
 256  128   50   64 1932.62  966.31     0      32       60
 256  141   55   64 1891.11 1041.59     0      32       60
 256  154   60   64 1874.10 1127.39     0      32       60
 256  169   66   64 1840.14 1214.78     0      32       60
 256  179   69   64 1659.69 1160.49     0      32       60
 256  192   75   64 1686.06 1264.55     0      32       60
 256  205   80   64 1540.25 1233.41     0      32       60
 256  218   85   64 1469.65 1251.50     1      32       60
 256  230   89   64 1804.54 1621.27     0      32       60
