   N    K    R   GF   Coded    Info   Lat Threads Duration
 128   26   20  128  872.65  177.26     1      32       60
 128   32   25  128  900.80  225.20     0      32       60
 128   38   29  128  903.13  268.12     0      32       60
 128   45   35  128  855.54  300.78     1      32       60
 128   51   39  128  860.13  342.71     1      32       60
 128   58   45  128  986.76  447.12     0      32       60
 128   64   50  128  890.15  445.07     1      32       60
 128   70   54  128  934.75  511.19     0      32       60
 128   77   60  128  888.39  534.42     1      32       60
 128   84   65  128  897.83  589.20     0      32       60
 128   90   70  128  890.69  626.27     1      32       60
 128   96   75  128  851.01  638.26     1      32       60
 128  102   79  128  848.53  676.18     1      32       60
 128  109   85  128 1104.54  940.58     0      32       60
 128  115   89  128 1122.28 1008.30     0      32       60
