   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   97.77   48.88     1       1       60
  64   32   50   16  100.37   50.19     2       1       60
  64   32   50   32   76.31   38.15     4       1       60
  64   32   50   64   71.19   35.59     5       1       60
  64   32   50  128   39.91   19.95    11       1       60
  64   32   50  256   22.73   11.37    22       1       60
  64   32   50  512   12.77    6.38    45       1       60
  64   32   50 1024    5.93    2.97   107       1       60
