   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 4615.22  919.44     0      24       60
 256   64   25   64 3219.40  804.85     0      24       60
 256   77   30   64 3010.22  905.42     0      24       60
 256   90   35   64 2680.21  942.26     0      24       60
 256  102   39   64 2895.81 1153.80     0      24       60
 256  115   44   64 2627.08 1180.13     0      24       60
 256  128   50   64 1221.08  610.54     1      24       60
 256  141   55   64 1121.46  617.68     1      24       60
 256  154   60   64 1070.59  644.03     1      24       60
 256  169   66   64 1019.02  672.72     1      24       60
 256  179   69   64  928.54  649.25     1      24       60
 256  192   75   64  924.96  693.72     1      24       60
 256  205   80   64  841.66  673.99     1      24       60
 256  218   85   64  804.99  685.50     1      24       60
 256  230   89   64 1085.25  975.03     1      24       60
