   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19  128 2612.73  520.51     0      24       60
 256   64   25  128 1813.99  453.50     0      24       60
 256   77   30  128 1656.49  498.24     1      24       60
 256   90   35  128 1511.73  531.47     1      24       60
 256  102   39  128 1639.72  653.32     1      24       60
 256  115   44  128 1479.44  664.59     1      24       60
 256  128   50  128  675.60  337.80     2      24       60
 256  141   55  128  624.45  343.93     2      24       60
 256  154   60  128  597.24  359.28     3      24       60
 256  169   66  128  584.41  385.80     3      24       60
 256  179   69  128  535.48  374.42     3      24       60
 256  192   75  128  536.63  402.47     3      24       60
 256  205   80  128  490.40  392.70     3      24       60
 256  218   85  128  465.71  396.58     3      24       60
 256  230   89  128  609.05  547.19     2      24       60
