   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1336.65  266.29     1      24       60
 256   64   25   64 1509.48  377.37     1      24       60
 256   77   30   64 1341.03  403.36     1      24       60
 256   90   35   64 1356.23  476.80     1      24       60
 256  102   39   64 1377.12  548.70     1      24       60
 256  115   44   64 1358.42  610.23     1      24       60
 256  128   50   64  992.14  496.07     1      24       60
 256  141   55   64  981.22  540.44     1      24       60
 256  154   60   64  988.81  594.83     1      24       60
 256  169   66   64  994.61  656.60     1      24       60
 256  179   69   64  868.95  607.59     1      24       60
 256  192   75   64  898.13  673.60     1      24       60
 256  205   80   64  832.33  666.52     1      24       60
 256  218   85   64  812.43  691.84     1      24       60
 256  230   89   64 1055.94  948.70     1      24       60
