   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 3465.11  690.32     0      24       60
 256   64   25   16 4049.35 1012.34     0      24       60
 256   77   30   16 3215.73  967.23     0      24       60
 256   90   35   16 3085.15 1084.62     0      24       60
 256  102   39   16 2990.93 1191.70     0      24       60
 256  115   44   16 2809.30 1261.99     0      24       60
 256  128   50   16 1877.36  938.68     0      24       60
 256  141   55   16 1816.31 1000.39     0      24       60
 256  154   60   16 1761.75 1059.80     0      24       60
 256  169   66   16 1708.56 1127.92     0      24       60
 256  179   69   16 1469.10 1027.22     0      24       60
 256  192   75   16 1487.90 1115.93     0      24       60
 256  205   80   16 1345.83 1077.72     0      24       60
 256  218   85   16 1300.95 1107.84     0      24       60
 256  230   89   16 1660.38 1491.75     0      24       60
