   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8 1329.07  664.53     0      24       60
  64   32   50   16  958.55  479.28     0      24       60
  64   32   50   32  762.80  381.40     0      24       60
  64   32   50   64  502.01  251.01     0      24       60
  64   32   50  128  289.71  144.86     1      24       60
  64   32   50  256  155.66   77.83     3      24       60
  64   32   50  512   70.33   35.16     8      24       60
  64   32   50 1024   33.79   16.89    18      24       60
