   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1173.91  233.86     1      12       60
 256   64   25   64 1316.50  329.13     1      12       60
 256   77   30   64 1170.53  352.07     1      12       60
 256   90   35   64 1185.65  416.83     1      12       60
 256  102   39   64 1205.54  480.33     1      12       60
 256  115   44   64 1187.71  533.54     1      12       60
 256  128   50   64  857.23  428.61     1      12       60
 256  141   55   64  844.87  465.34     1      12       60
 256  154   60   64  847.20  509.64     1      12       60
 256  169   66   64  855.65  564.86     1      12       60
 256  179   69   64  750.52  524.77     2      12       60
 256  192   75   64  771.88  578.91     1      12       60
 256  205   80   64  716.33  573.62     2      12       60
 256  218   85   64  695.87  592.58     2      12       60
 256  230   89   64  910.06  817.63     1      12       60
