   N    K    R   GF   Coded    Info   Lat Threads Duration
   8    4   50   64 1109.92  554.96     0      12       60
  16    8   50   64 1505.12  752.56     0      12       60
  32   16   50   64  927.73  463.87     0      12       60
  64   32   50   64  871.39  435.69     0      12       60
 128   64   50   64  750.29  375.15     1      12       60
 256  128   50   64 1010.17  505.08     1      12       60
 512  256   50   64  982.55  491.28     3      12       60
1024  512   50   64  989.18  494.59     6      12       60
