   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 2455.27  489.14     0      12       60
 256   64   25   16 2863.98  715.99     0      12       60
 256   77   30   16 2332.11  701.45     0      12       60
 256   90   35   16 2279.37  801.34     0      12       60
 256  102   39   16 2246.58  895.12     0      12       60
 256  115   44   16 2144.41  963.31     0      12       60
 256  128   50   16 1454.82  727.41     0      12       60
 256  141   55   16 1396.75  769.30     0      12       60
 256  154   60   16 1381.26  830.92     0      12       60
 256  169   66   16 1363.19  899.92     0      12       60
 256  179   69   16 1180.54  825.45     0      12       60
 256  192   75   16 1200.87  900.66     0      12       60
 256  205   80   16 1094.81  876.70     0      12       60
 256  218   85   16 1054.47  897.95     0      12       60
 256  230   89   16 1352.20 1214.87     0      12       60
