   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 6353.39 1265.71     0      12       60
 256   64   25   16 5127.62 1281.90     0      12       60
 256   77   30   16 4799.06 1443.47     0      12       60
 256   90   35   16 4171.95 1466.70     0      12       60
 256  102   39   16 3684.78 1468.16     0      12       60
 256  115   44   16 3153.83 1416.76     0      12       60
 256  128   50   16 1832.90  916.45     0      12       60
 256  141   55   16 1712.83  943.40     0      12       60
 256  154   60   16 1631.11  981.22     0      12       60
 256  169   66   16 1544.71 1019.75     0      12       60
 256  179   69   16 1262.02  882.43     0      12       60
 256  192   75   16 1265.62  949.22     0      12       60
 256  205   80   16 1121.05  897.72     0      12       60
 256  218   85   16 1060.61  903.17     0      12       60
 256  230   89   16 1353.10 1215.68     0      12       60
