   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19  128 2352.87  468.74     0      12       60
 256   64   25  128 1608.46  402.11     1      12       60
 256   77   30  128 1459.25  438.92     1      12       60
 256   90   35  128 1328.21  466.95     1      12       60
 256  102   39  128 1430.89  570.12     1      12       60
 256  115   44  128 1309.71  588.35     1      12       60
 256  128   50  128  596.14  298.07     3      12       60
 256  141   55  128  546.80  301.17     3      12       60
 256  154   60  128  521.68  313.82     3      12       60
 256  169   66  128  511.62  337.75     3      12       60
 256  179   69  128  469.43  328.23     3      12       60
 256  192   75  128  468.56  351.42     3      12       60
 256  205   80  128  427.11  342.03     4      12       60
 256  218   85  128  406.62  346.26     4      12       60
 256  230   89  128  530.93  477.01     3      12       60
