   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   88.57   17.99     4
  64   16   25   64   73.02   18.25     5
  64   19   29   64   52.73   15.65     7
  64   22   34   64   52.12   17.92     7
  64   26   40   64   58.41   23.73     6
  64   32   50   64   57.00   28.50     6
  64   38   59   64   54.42   32.31     7
  64   42   65   64   48.50   31.83     7
  64   45   70   64   48.08   33.81     7
  64   48   75   64   64.82   48.62     5
  64   52   81   64   58.24   47.32     6
  64   58   90   64   70.83   64.19     5
