   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   95.52   19.40     4
  64   16   25   64   89.34   22.33     4
  64   19   29   64   86.25   25.61     4
  64   22   34   64   85.97   29.55     4
  64   26   40   64   89.75   36.46     4
  64   32   50   64   85.67   42.83     4
  64   38   59   64   81.44   48.36     4
  64   42   65   64   80.38   52.75     4
  64   45   70   64   74.54   52.41     5
  64   48   75   64   95.06   71.30     4
  64   52   81   64   89.82   72.98     4
  64   58   90   64  117.20  106.21     3
