   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  130.15   65.08     1       1       60
  64   32   50   16  124.41   62.21     2       1       60
  64   32   50   32  114.47   57.24     2       1       60
  64   32   50   64   88.16   44.08     4       1       60
  64   32   50  128   50.29   25.14     8       1       60
  64   32   50  256   22.43   11.22    22       1       60
  64   32   50  512   11.74    5.87    49       1       60
  64   32   50 1024    5.73    2.87   111       1       60
