   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   52.84   26.42     3       1       60
  64   32   50   16   57.46   28.73     4       1       60
  64   32   50   32   49.44   24.72     6       1       60
  64   32   50   64   45.70   22.85     8       1       60
  64   32   50  128   24.81   12.41    18       1       60
  64   32   50  256   12.07    6.04    42       1       60
  64   32   50  512    5.92    2.96    97       1       60
  64   32   50 1024    3.13    1.57   204       1       60
