   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   70.84   14.39     5
  64   16   25   64   72.71   18.18     5
  64   19   29   64   74.45   22.10     5
  64   22   34   64   73.98   25.43     5
  64   26   40   64   84.28   34.24     4
  64   32   50   64   88.65   44.32     4
  64   38   59   64   77.39   45.95     4
  64   42   65   64   78.74   51.68     4
  64   45   70   64   72.04   50.65     5
  64   48   75   64   93.78   70.34     4
  64   52   81   64   91.18   74.09     4
  64   58   90   64  125.82  114.03     3
