   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   49.13    9.98     7
  64   16   25   64   48.16   12.04     7
  64   19   29   64   47.86   14.21     8
  64   22   34   64   47.52   16.33     8
  64   26   40   64   46.70   18.97     8
  64   32   50   64   45.85   22.93     8
  64   38   59   64   44.93   26.68     8
  64   42   65   64   44.31   29.08     8
  64   45   70   64   44.01   30.95     8
  64   48   75   64   43.61   32.71     8
  64   52   81   64   42.85   34.82     8
  64   58   90   64   42.17   38.22     9
