   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   45.80   22.90     4       1       60
  64   32   50   16   47.01   23.51     5       1       60
  64   32   50   32   38.35   19.17     8       1       60
  64   32   50   64   29.95   14.97    12       1       60
  64   32   50  128   15.20    7.60    29       1       60
  64   32   50  256    8.17    4.08    62       1       60
  64   32   50  512    4.10    2.05   140       1       60
  64   32   50 1024    1.98    0.99   323       1       60
