   N    K    R   GF   Coded    Info   Lat
  64   32   50    8  260.33  130.16     0
  64   32   50   16  216.10  108.05     1
  64   32   50   32  139.59   69.79     2
  64   32   50   64   87.48   43.74     4
  64   32   50  128   47.20   23.60     9
  64   32   50  256   23.63   11.82    21
  64   32   50  512   11.68    5.84    49
  64   32   50 1024    5.87    2.94   108
