   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  162.02   81.01     1       1       60
  64   32   50   16  140.32   70.16     1       1       60
  64   32   50   32  124.20   62.10     2       1       60
  64   32   50   64   91.49   45.75     4       1       60
  64   32   50  128   52.72   26.36     8       1       60
  64   32   50  256   23.38   11.69    21       1       60
  64   32   50  512   12.26    6.13    46       1       60
  64   32   50 1024    6.18    3.09   103       1       60
