   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   24.05    4.00    15
  64   16   25   64   21.14    5.00    18
  64   19   29   64   16.05    4.00    23
  64   22   34   64   16.11    5.00    23
  64   26   40   64   17.87    7.00    21
  64   32   50   64   17.95    8.00    21
  64   38   59   64   17.37   10.00    22
  64   42   65   64   15.65   10.00    24
  64   45   70   64   15.44   10.00    24
  64   48   75   64   20.97   15.00    18
  64   52   81   64   18.60   15.00    20
  64   58   90   64   23.99   21.00    16
