   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   34.45   17.22     5       1       60
  64   32   50   16   30.14   15.07     8       1       60
  64   32   50   32   18.69    9.35    17       1       60
  64   32   50   64   11.44    5.72    33       1       60
  64   32   50  128    5.59    2.80    80       1       60
  64   32   50  256    2.70    1.35   189       1       60
  64   32   50  512    1.39    0.69   415       1       60
  64   32   50 1024    0.73    0.37   873       1       60
