   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8   72.10   36.05     2       1       60
  64   32   50   16   62.21   31.11     4       1       60
  64   32   50   32   42.90   21.45     7       1       60
  64   32   50   64   25.86   12.93    14       1       60
  64   32   50  128   11.51    5.75    38       1       60
  64   32   50  256    6.05    3.02    84       1       60
  64   32   50  512    3.16    1.58   181       1       60
  64   32   50 1024    1.65    0.83   387       1       60
