   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   23.69    4.00    16
  64   16   25   64   22.65    5.00    16
  64   19   29   64   21.25    6.00    18
  64   22   34   64   20.83    7.00    18
  64   26   40   64   22.99    9.00    16
  64   32   50   64   21.74   10.00    17
  64   38   59   64   20.62   12.00    18
  64   42   65   64   19.86   13.00    19
  64   45   70   64   18.32   12.00    20
  64   48   75   64   24.42   18.00    15
  64   52   81   64   22.23   18.00    17
  64   58   90   64   30.38   27.00    12
