   N    K    R   GF   Coded    Info   Lat
  64   13   20   64    8.56    1.00    44
  64   16   25   64    8.80    2.00    43
  64   19   29   64    8.58    2.00    44
  64   22   34   64    8.45    2.00    45
  64   26   40   64    8.67    3.00    44
  64   32   50   64    8.75    4.00    43
  64   38   59   64    8.56    5.00    44
  64   42   65   64    8.60    5.00    44
  64   45   70   64    8.30    5.00    46
  64   48   75   64    8.27    6.00    46
  64   52   81   64    8.23    6.00    46
  64   58   90   64    8.29    7.00    46
