   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1443.30  287.53     1       8       60
 256   64   25   64 1114.82  278.71     1       8       60
 256   77   30   64 1008.64  303.38     1       8       60
 256   90   35   64  926.73  325.80     1       8       60
 256  102   39   64  975.35  388.62     1       8       60
 256  115   44   64  880.17  395.39     1       8       60
 256  128   50   64  445.08  222.54     3       8       60
 256  141   55   64  416.66  229.49     3       8       60
 256  154   60   64  397.89  239.36     3       8       60
 256  169   66   64  399.07  263.45     3       8       60
 256  179   69   64  363.18  253.94     4       8       60
 256  192   75   64  366.22  274.67     4       8       60
 256  205   80   64  336.82  269.72     4       8       60
 256  218   85   64  320.16  272.64     4       8       60
 256  230   89   64  389.07  349.55     3       8       60
