   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 2663.11  530.54     0       8       60
 256   64   25   16 2041.57  510.39     0       8       60
 256   77   30   16 1796.51  540.36     0       8       60
 256   90   35   16 1638.31  575.97     0       8       60
 256  102   39   16 1565.99  623.95     0       8       60
 256  115   44   16 1369.46  615.19     0       8       60
 256  128   50   16  728.52  364.26     1       8       60
 256  141   55   16  672.56  370.43     1       8       60
 256  154   60   16  638.42  384.05     1       8       60
 256  169   66   16  628.65  415.01     1       8       60
 256  179   69   16  539.94  377.54     1       8       60
 256  192   75   16  533.98  400.49     1       8       60
 256  205   80   16  484.51  387.99     2       8       60
 256  218   85   16  455.84  388.18     2       8       60
 256  230   89   16  560.86  503.89     1       8       60
