   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  772.85  386.42     0       8       60
  64   32   50   16  636.00  318.00     0       8       60
  64   32   50   32  568.08  284.04     0       8       60
  64   32   50   64  401.68  200.84     0       8       60
  64   32   50  128  221.50  110.75     2       8       60
  64   32   50  256  102.61   51.31     4       8       60
  64   32   50  512   54.55   27.27    10       8       60
  64   32   50 1024   28.02   14.01    22       8       60
