   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  618.07  309.03     0       8       60
  64   32   50   16  598.32  299.16     0       8       60
  64   32   50   32  537.69  268.85     0       8       60
  64   32   50   64  401.43  200.72     0       8       60
  64   32   50  128  221.55  110.77     2       8       60
  64   32   50  256  102.57   51.29     4       8       60
  64   32   50  512   51.68   25.84    11       8       60
  64   32   50 1024   26.50   13.25    24       8       60
