   N    K    R   GF   Coded    Info   Lat Threads Duration
  64   32   50    8  270.54  135.27     0       8       60
  64   32   50   16  289.82  144.91     0       8       60
  64   32   50   32  257.03  128.51     1       8       60
  64   32   50   64  193.51   96.75     1       8       60
  64   32   50  128  109.59   54.79     4       8       60
  64   32   50  256   56.10   28.05     9       8       60
  64   32   50  512   27.26   13.63    21       8       60
  64   32   50 1024   13.66    6.83    46       8       60
